iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
PAK,2010,0.7135252538718264,0.8519957883944433,0.2847167794001073,,0.5339119808037769,1,1,0,0,2,0,LMIC,SASIA,Pakistan
PAK,2011,0.6593270508116675,0.7808598293938067,0.288854725265845,0.0,0.4981931064489965,0,1,0,1,2,0,LMIC,SASIA,Pakistan
PAK,2012,0.7072951539928026,0.7797634076179703,0.2754992878660548,0.0,0.5113689777684872,1,1,0,1,3,1,LMIC,SASIA,Pakistan
PAK,2013,0.6795035589494381,0.7555572765319739,0.2384541555182569,0.0,0.48632910364486104,1,1,0,1,3,1,LMIC,SASIA,Pakistan
PAK,2014,0.6808811106064195,0.76681421245835,0.2530585892139451,0.0,0.4932765891303206,1,1,0,1,3,1,LMIC,SASIA,Pakistan
PAK,2015,0.669695942945241,0.5239661814056362,0.2117482662766299,0.0,0.4183221919514009,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2016,0.619895233277746,0.4168603497609305,0.1833080316651859,0.0,0.36700542700374017,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2017,0.6082493891806761,0.6141899555698345,0.19895636274395,0.0,0.4161738657916827,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2018,0.6200975555070489,0.2937733248225517,0.168727829461971,0.0,0.33265943299859774,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2019,0.6315164230643476,0.5776711995716063,0.2560687661017578,0.2499999999375,0.4669657394814877,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2020,0.6282580475637588,0.747082946850993,0.3579828166183958,0.0,0.49615675751466276,0,1,1,1,3,1,LMIC,SASIA,Pakistan
PAK,2021,0.6350010810131173,0.4885386747937351,0.2147538558119935,0.0,0.3980735110060232,0,0,0,1,1,0,LMIC,SASIA,Pakistan
PAK,2022,0.660820061915836,0.8602674914486776,0.2251547677977359,0.0,0.502642586482146,0,1,0,1,2,0,LMIC,SASIA,Pakistan
