iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
YEM,2017,3,85.0,306.0,0.0,0.23246332896122474
YEM,2018,2,49.0,15874.0,0.0,0.27656975188525645
YEM,2019,5,958.0,601528.0,0.0,0.4582656781922853
YEM,2020,4,202.0,173374.0,24240.0,0.5267541035552536
YEM,2021,2,46.0,228208.0,0.0,0.4014739936703792
YEM,2022,3,90.0,219400.0,0.0,0.4004845877559973
YEM,2023,2,255.0,308333.0,0.0,0.42013071355879406
YEM,2024,5,1022.0,1053160.0,0.0,0.484407815119815
ZAF,2010,1,40.0,6000.0,0.0,0.23897797372741306
ZAF,2011,3,46.0,206644.0,308195.0,0.6547940469820248
ZAF,2012,2,13.0,126350.0,273255.0,0.6484509594486084
ZAF,2013,1,3.0,2870.0,0.0,0.18058159623428385
ZAF,2014,2,33.0,9187.0,112630.0,0.6023734493355597
ZAF,2015,1,0.0,2700000.0,330872.0,0.6621786828335409
ZAF,2016,3,24.0,7520.0,365960.0,0.6633499615341035
ZAF,2017,5,32.0,13136.0,2844857.0,0.7695294291241733
ZAF,2019,6,102.0,754520.0,226993.0,0.640320632997522
ZAF,2020,2,13.0,410.0,0.0,0.14995473348437785
ZAF,2021,4,58.0,12012437.0,86824.0,0.6338322453253599
ZAF,2022,8,579.0,199296.0,3939135.0,0.7864124608367431
ZAF,2023,6,71.0,9667.0,0.0,0.2655327626383959
ZAF,2024,6,91.0,72424.0,60000.0,0.5704051840884178
ZMB,2010,1,0.0,1200.0,0.0,0.13281698666866504
ZMB,2011,1,0.0,1375.0,0.0,0.13935666823545173
ZMB,2012,1,2.0,153.0,0.0,0.07822748434165468
ZMB,2013,1,0.0,1800.0,0.0,0.15246753761629042
ZMB,2014,1,0.0,20000.0,0.0,0.2746132102860088
ZMB,2017,1,89.0,4371.0,0.0,0.2535054231349615
ZMB,2019,2,4.0,1430000.0,0.0,0.4954644909410001
ZMB,2020,3,3.0,705772.0,0.0,0.4589108527479163
ZMB,2021,1,0.0,1580000.0,0.0,0.5006148937587174
ZMB,2022,1,3.0,21582.0,0.0,0.279247870104271
ZMB,2023,4,742.0,196828.0,0.0,0.40934206721486077
ZMB,2024,2,9.0,9800496.0,2261.0,0.5962995255665172
ZWE,2010,4,8.0,1668696.0,0.0,0.5034677214710855
ZWE,2011,2,45.0,1140.0,0.0,0.20971746622500514
ZWE,2013,2,125.0,4309700.0,673276.0,0.6981253482618681
ZWE,2014,2,14.0,2502.0,26501.0,0.5274697361538054
ZWE,2015,2,10.0,486.0,0.0,0.14311378717982493
ZWE,2016,1,31.0,2000.0,0.0,0.204601421376541
ZWE,2017,2,251.0,7013023.0,241870.0,0.655117397750627
ZWE,2018,2,81.0,15894.0,0.0,0.2839982506828638
ZWE,2019,2,654.0,270486.0,0.0,0.42044808864901634
ZWE,2021,2,3.0,169900.0,0.0,0.385262133782034
ZWE,2022,3,750.0,9551.0,0.0,0.34906557128465054
ZWE,2023,2,721.0,4217.0,0.0,0.34376667797287014
ZWE,2024,2,13.0,7600579.0,500000.0,0.6868248159789685
